Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,60.000000,65.099998,59.900002,64.300003,64.300003,4697368
2022-03-22,64.000000,67.199997,64.000000,65.300003,65.300003,5547016
2022-03-23,66.400002,66.800003,64.800003,65.199997,65.199997,2601323
2022-03-24,67.000000,68.099998,65.699997,67.000000,67.000000,5000199
2022-03-25,67.699997,70.500000,66.900002,67.199997,67.199997,10720061
2022-03-28,67.800003,68.800003,65.500000,68.500000,68.500000,3431687
2022-03-29,69.000000,70.599998,68.099998,68.900002,68.900002,5000444
2022-03-30,69.099998,69.800003,67.699997,68.199997,68.199997,4510736
2022-03-31,68.599998,69.199997,66.900002,68.400002,68.400002,2957006
2022-04-01,67.400002,71.000000,67.000000,70.500000,70.500000,6659010
2022-04-06,70.000000,72.599998,69.699997,71.900002,71.900002,6001657
2022-04-07,71.400002,72.400002,68.800003,69.900002,69.900002,6336339
2022-04-08,71.300003,74.500000,70.400002,71.699997,71.699997,10014212
2022-04-11,71.300003,71.400002,64.599998,64.800003,64.800003,10306575
2022-04-12,64.099998,65.300003,60.000000,62.799999,62.799999,6889626
2022-04-13,62.700001,66.400002,61.799999,66.000000,66.000000,5692726
